"variable","pip","is_true","method_scenario","dataset","mechanism","imputation"
"fibr_ter_07",0,FALSE,"top","MI","MAR","MEAN"
"fibr_ter_08",0,FALSE,"top","MI","MAR","MEAN"
"GIPO_K",0,FALSE,"top","MI","MAR","MEAN"
"K_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"GIPER_NA",0,FALSE,"top","MI","MAR","MEAN"
"NA_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"ALT_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"AST_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"KFK_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"L_BLOOD",0,FALSE,"top","MI","MAR","MEAN"
"ROE",0,FALSE,"top","MI","MAR","MEAN"
"TIME_B_S",0,FALSE,"top","MI","MAR","MEAN"
"NA_KB",0,FALSE,"top","MI","MAR","MEAN"
"NOT_NA_KB",0,FALSE,"top","MI","MAR","MEAN"
"LID_KB",0,FALSE,"top","MI","MAR","MEAN"
"NITR_S",0,FALSE,"top","MI","MAR","MEAN"
"BF",NA,FALSE,"top","MI","MAR","MEAN"
"PostProbs",NA,FALSE,"top","MI","MAR","MEAN"
"R2",NA,FALSE,"top","MI","MAR","MEAN"
"dim",NA,FALSE,"top","MI","MAR","MEAN"
"logmarg",NA,FALSE,"top","MI","MAR","MEAN"
"AGE",0,FALSE,"top","MI","MAR","MICE"
"SEX",0,FALSE,"top","MI","MAR","MICE"
"INF_ANAM",0.000769230769230769,FALSE,"top","MI","MAR","MICE"
"STENOK_AN",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"FK_STENOK",0,FALSE,"top","MI","MAR","MICE"
"IBS_POST",0,FALSE,"top","MI","MAR","MICE"
"IBS_NASL",0.000769230769230769,FALSE,"top","MI","MAR","MICE"
"GB",0,FALSE,"top","MI","MAR","MICE"
"SIM_GIPERT",0,FALSE,"top","MI","MAR","MICE"
"DLIT_AG",0,FALSE,"top","MI","MAR","MICE"
"ZSN_A",0,FALSE,"top","MI","MAR","MICE"
"nr_11",0,FALSE,"top","MI","MAR","MICE"
"nr_01",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"nr_02",0,FALSE,"top","MI","MAR","MICE"
"nr_03",0,FALSE,"top","MI","MAR","MICE"
"nr_04",0,FALSE,"top","MI","MAR","MICE"
"nr_07",0.000256410256410256,FALSE,"top","MI","MAR","MICE"
"nr_08",0,FALSE,"top","MI","MAR","MICE"
"np_01",0,FALSE,"top","MI","MAR","MICE"
"np_04",0,FALSE,"top","MI","MAR","MICE"
"np_05",0,FALSE,"top","MI","MAR","MICE"
"np_07",0,FALSE,"top","MI","MAR","MICE"
"np_08",0,FALSE,"top","MI","MAR","MICE"
"np_09",0,FALSE,"top","MI","MAR","MICE"
"np_10",0,FALSE,"top","MI","MAR","MICE"
"endocr_01",0,FALSE,"top","MI","MAR","MICE"
"endocr_02",0,FALSE,"top","MI","MAR","MICE"
"endocr_03",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"zab_leg_01",0.0287179487179487,FALSE,"top","MI","MAR","MICE"
"zab_leg_02",0,FALSE,"top","MI","MAR","MICE"
"zab_leg_03",0,FALSE,"top","MI","MAR","MICE"
"zab_leg_04",0,FALSE,"top","MI","MAR","MICE"
"zab_leg_06",0,FALSE,"top","MI","MAR","MICE"
"S_AD_KBRIG",0,FALSE,"top","MI","MAR","MICE"
"D_AD_KBRIG",0,FALSE,"top","MI","MAR","MICE"
"S_AD_ORIT",0,FALSE,"top","MI","MAR","MICE"
"D_AD_ORIT",0,FALSE,"top","MI","MAR","MICE"
"O_L_POST",0,FALSE,"top","MI","MAR","MICE"
"K_SH_POST",0,FALSE,"top","MI","MAR","MICE"
"MP_TP_POST",0.00794871794871795,FALSE,"top","MI","MAR","MICE"
"SVT_POST",0,FALSE,"top","MI","MAR","MICE"
"GT_POST",0.00102564102564103,FALSE,"top","MI","MAR","MICE"
"FIB_G_POST",0,FALSE,"top","MI","MAR","MICE"
"ant_im",0,FALSE,"top","MI","MAR","MICE"
"lat_im",0,FALSE,"top","MI","MAR","MICE"
"inf_im",0,FALSE,"top","MI","MAR","MICE"
"post_im",0,FALSE,"top","MI","MAR","MICE"
"IM_PG_P",0,TRUE,"top","MI","MAR","MICE"
"ritm_ecg_p_01",0,TRUE,"top","MI","MAR","MICE"
"ritm_ecg_p_02",0.976410256410256,TRUE,"top","MI","MAR","MICE"
"ritm_ecg_p_04",0,TRUE,"top","MI","MAR","MICE"
"ritm_ecg_p_06",0,FALSE,"top","MI","MAR","MICE"
"ritm_ecg_p_07",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"ritm_ecg_p_08",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_01",0,FALSE,"top","MI","MAR","MICE"
